見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
役務の提供等の契約に係る競争入札参加資格審査申請,県が発注する役務等の業務（建設工事に関するものは除く）に係る入札参加資格申請の受付※現在資格を持つ方も申請が必要対象業種例：建築物の保守管理、警備、情報処理、検査・調査研究など,,,,,,,,10月2?31日の平日（9:30?16:00）に県庁の関係課、振興局総務県民課（海草除く）、串本建設部 ※郵送可,県庁総務事務集中課,,,,,http://www.pref.wakayama.lg.jp/prefg/120200/ekimu/sikaku/,,,
「元気わかやま」ビジネスプラン,創業についてのビジネスプランを募集,,,,,(1)県内で今後1年以内に起業を検討されている方(2)県内で起業されて5年未満の方,,,,,郵送、ファックス、Eメールで所定の申込書（申込先、WEBサイトで配布）を9月29日までに「創業支援セミナーinわかやま」事務局〒640-8033和歌山市本町2-1フォルテワジマ6階電話073-432-3412　ファックス073-432-3314,,,,http://www.yarukiouendan.jp/,,sogyo@yarukiouendan.jp,
国際・第38回全日本マスターズ陸上競技選手権大会開催記念シンポジウム,テーマ：生涯スポーツの果たす役割,,,10月26日（木）13:30?15:30,アバローム紀の国（和歌山市）,,300人（先着順）,,,,郵送、ファックスで所定の申込書（WEBサイトで配布）を9月30日までに和歌山マスターズ陸上競技連盟〒641-0021和歌山市和歌浦東3-6-14　電話(ファックス)073-445-5707,,,,http://www.geocities.jp/w_masters2004/,,,
人権を考える公開講座,テーマ：共に生きる。?多文化共生とは?,,,9月30日（土）14:00?15:30,海南市民交流センター,県内在住・在勤・在学の方,50人（先着順）,,,,電話、ファックス、Eメールで氏名、電話番号を（一時保育・手話通訳・要約筆記希望者は9月15日までに）県人権啓発センター電話073-435-5420　ファックス073-435-5421,,,,http://w-jinken.jp/,,mailto:seminar@w-jinken.jp,
紀の国ものづくり就職フェア,県内の製造業などの人事担当者との個別面談方式による説明会,,,9月24日（日）13:00?16:00,和歌山ビッグ愛（和歌山市）,,,,,県庁労働政策課,,,,,県庁労働政策課,,,
"県男女共同参画センター ""りぃぶる""からのお知らせ",保育つき読書の時間,子供を預けて読書を楽しんでもらう,,10月5日（木）10:30?12:00,"""りぃぶる""　和歌山市手平2-1-2和歌山ビッグ愛9階",保護者と子供（１歳?未就学児）,10組（抽選）,,電話、ファックス、Eメール、来所で住所、氏名、電話番号、子供の名前・年齢を9月5?24日に問合先,"""りぃぶる""　和歌山市手平2-1-2和歌山ビッグ愛9階電話073-435-5245　ファックス073-435-5247",,,,,http://www.pref.wakayama.lg.jp/prefg/031501/,,mailto:libre@sirius.ocn.ne.jp,
"県男女共同参画センター ""りぃぶる""からのお知らせ",読み語り広場,,,10月13日（金）10:30?11:30,"""りぃぶる""　和歌山市手平2-1-2和歌山ビッグ愛9階",,20人（先着順）,,電話、ファックス、Eメール、来所で住所、氏名、電話番号を（一時保育希望者は10月3日までに）問合先,"""りぃぶる""　和歌山市手平2-1-2和歌山ビッグ愛9階電話073-435-5245　ファックス073-435-5247",,,,,http://www.pref.wakayama.lg.jp/prefg/031501/,,,
特設労働相談会,特設労働相談会,,,(1)10月11日（水）(2)13日（金）(3)20日（金）(4)25日（水）(5)27日（金）いずれも18:00?21:00,(1)御坊商工会館（御坊市）(2)打田生涯学習センター（紀の川市）、紀州有田商工会議所（有田市）(3)ラポール橋本（橋本市）(4)新宮商工会議所（新宮市）(5)プラザホープ（和歌山市）、田辺市生涯学習センター,県内の事業所に勤務する労働者と事業主,各会場5人程度（先着順）,,,,電話で住所、氏名、電話番号、相談内容を各相談日の前日16:00までに県労働委員会事務局,,,,http://www.pref.wakayama.lg.jp/prefg/220200/11kobetsusoudan/kobetsusoudan.html,,,
犯罪被害者等支援無料相談,,,,(1)10月7日 (2)21日いずれも土曜10:00?16:00,(1) 田辺市民総合センター(2) 橋本市教育文化会館,,,,,,電話で前日までに紀の国被害者支援センター電話073-427-1000（相談ダイヤル）,,,,,,,
難病患者の就労・年金・療養相談会,,,,10月3日（火）13:30?16:30,和歌山市中央コミュニティセンター,難病患者とその家族,15人（先着順）,,,,電話、ファックスで住所、氏名、電話（ファックス）番号、相談内容を9月19日までに県難病・子ども保健相談支援センター電話073-445-0520　ファックス073-445-0603,,,,http://www.pref.wakayama.lg.jp/prefg/041200/050300/kodomo/info1.html#syuronenkin,,,
第36回Microwave Surgery研究会市民公開講座,テーマ：最新のがん外科治療,,,9月16日（土）13:00?15:00,県立医大講堂（和歌山市）,,500人（先着順）,,,県立医大外科学第２講座電話073-441-0613,,,,,http://www.mws36-wakayama.com/,,,
盲ろう者向け通訳・介助者養成研修会（前期）,,,,10月8・22・29日、11月5・19・26日、12月3・17・24日(全9日間)いずれも日曜10:30?16:30,田辺市民総合センター 他,受講後、通訳・介助者として活動できる県内在住・在勤の18歳以上の方,20人（抽選）,"3,000円（教材費）",,,郵送、ファックスで所定の申込書（申込先で配布）を9月29日までに和歌山盲ろう者友の会 〒640-8331和歌山市美園町5-5-1電話（ファックス）073-498-7756,,,,,,,
原爆被爆二世健康診断,,,,,県が指定する13医療機関,県内在住の原爆被爆二世の方,60人（未受診者を優先）,,,,郵送、ファックスで所定の申込書（申込先で配布）を9月20日までに各保健所（支所）または県庁健康推進課ファックス073-428-2325,,,,,,,
